,context,response,label_
10,就是 每个 月 在 你 月租 外 额外 扣 25 元 你 可以 领取 两款 VIP 会员 来 用 那 你 	 给 我们 联系 联系 要 得 要 得 哈哈 ,就是 联通 也 会分 4 个 月 每月 到 账 10 元 的 方式 返还 给 你 话费 那 返还 的 话费 是 可以 直接 抵扣 你 月租费 用 的 好 吧 给 你 送礼 好 下个月 收到 短信 就 可以 用 了 ,1
11,就是 联通 也 会分 4 个 月 每月 到 账 10 元 的 方式 返还 给 你 话费 那 返还 的 话费 是 可以 直接 抵扣 你 月租费 用 的 好 吧 给 你 送礼 好 下个月 收到 短信 就 可以 用 了 	 好好 好 对 ,那好 那 耽误 您 20 秒 了 就是 每月 25 元 的 正 啊 你 是 耽误 您 20 秒 就是 每月 25 元 的 钻石 的 会员 7 月 生效 自动 续订 年初 还会 返还 你 10 个 月话费 每月 10 元 话费 会 在 3 月 10 号 前 到 账 你 到时候 根据 短信 直接 在 微信 公众 号 不 营业 领取 就 可以 了 好 吧 ,1
12,那好 那 耽误 您 20 秒 了 就是 每月 25 元 的 正 啊 你 是 耽误 您 20 秒 就是 每月 25 元 的 钻石 的 会员 7 月 生效 自动 续订 年初 还会 返还 你 10 个 月话费 每月 10 元 话费 会 在 3 月 10 号 前 到 账 你 到时候 根据 短信 直接 在 微信 公众 号 不 营业 领取 就 可以 了 好 吧 	 噢 了解 了解 好 ,嗯 那 好 那 这边 先 不 打扰 你 了 祝您 生活 愉快 谢谢 谢谢 嗯 好 再见 ,1
13,你好 这边 是 重庆 联通 来电 un 手机 尾号 9913 是 你 本人 在 使用 的 对 吧 	 对 对 对 ,抱歉 打扰到 您 了 来电 是 感谢您 对 联通 的 支持 回馈 到 您 从 下个月 开始 每月 只 需 25 元 就 可以 领取 两款 您 喜欢 的 VIP 会员 因为 您 是 我们 的 联通 优质 用户 联通 呢 也 会 以 4 个 月 每个 月 到 账 10 元 的 方式 返还 给 您 话费 的 返还 的 话费 是 可以 直接 去 扣 您 的 月租费 用 的 给 您 登记 办理 好 您 下个月 收到 联通 短信 就 可以 放心 用 了 好 吧 ,1
14,抱歉 打扰到 您 了 来电 是 感谢您 对 联通 的 支持 回馈 到 您 从 下个月 开始 每月 只 需 25 元 就 可以 领取 两款 您 喜欢 的 VIP 会员 因为 您 是 我们 的 联通 优质 用户 联通 呢 也 会 以 4 个 月 每个 月 到 账 10 元 的 方式 返还 给 您 话费 的 返还 的 话费 是 可以 直接 去 扣 您 的 月租费 用 的 给 您 登记 办理 好 您 下个月 收到 联通 短信 就 可以 放心 用 了 好 吧 	 好勒好 勒 ,嗯 好 的 感谢您 的 支持 已经 为 您 登记 办理 好 每月 25 元 的 钻石 了 会员 4 月 生效 自动 修订 年度 话费 返还 您 4 个 月话费 每月 10 元 话费 费在 生效 当月 10 号 前 到 账 到时候 根据 短信 指引 在 微信 公众 号 问 会员 领取 会员 领取 会员 就 可以 了 好 吧 ,1
15,嗯 好 的 感谢您 的 支持 已经 为 您 登记 办理 好 每月 25 元 的 钻石 了 会员 4 月 生效 自动 修订 年度 话费 返还 您 4 个 月话费 每月 10 元 话费 费在 生效 当月 10 号 前 到 账 到时候 根据 短信 指引 在 微信 公众 号 问 会员 领取 会员 领取 会员 就 可以 了 好 吧 	 好 的 我 这个 用 这个 联通 用 了 10 多 20 年 了 ,嗯 好 的 感谢您 的 支持 那 这边 的话 就 先 不 打扰 您 了 感谢您 的 接听 祝您 生活 愉快 再见 先生 ,1
16,嗯 好 的 感谢您 的 支持 那 这边 的话 就 先 不 打扰 您 了 感谢您 的 接听 祝您 生活 愉快 再见 先生 	 好 谢谢 ,再见 ,1
17,您好 这边 是 重庆 联通 来电 全 手机 尾号 0851 是 您 本人 在 使用 的 对 吧 	 嗯 对 ,抱歉 打扰到 您 了 来电 是 感谢您 对 联通 的 支持 回馈 到 您 从 下个月 开始 每月 只 需 25 元 就 可以 领取 两款 您 喜欢 的 VIP 会员 因为 您 是 我们 联通 的 优质 用户 联通 呢 也 会 以 4 个 月 每月 到 账 10 元 的 方式 返还 给 您 话费 的 返还 的 话费 是 可以 直接 提供 您 月租费 用 的 给 您 受理 好 您 下个月 收到 联通 短信 就 可以 放心使用 了 好 吧 ,1
18,抱歉 打扰到 您 了 来电 是 感谢您 对 联通 的 支持 回馈 到 您 从 下个月 开始 每月 只 需 25 元 就 可以 领取 两款 您 喜欢 的 VIP 会员 因为 您 是 我们 联通 的 优质 用户 联通 呢 也 会 以 4 个 月 每月 到 账 10 元 的 方式 返还 给 您 话费 的 返还 的 话费 是 可以 直接 提供 您 月租费 用 的 给 您 受理 好 您 下个月 收到 联通 短信 就 可以 放心使用 了 好 吧 	 好 的 谢谢 ,嗯 好 的 感谢您 的 支持 已经 为 您 登记 办理 好 每月 25 元 的 正式 入 会员 次 月 生效 自动 续订 年终 还会 返还 您 4 个 月话费 每月 10 元费 您 在 生效 月 10 号 前 到 账 您 到时候 根据 短信 指引 在 微信 公众 号 问问 音乐 领取 会员 就 可以 了 好 吧 ,1
19,嗯 好 的 感谢您 的 支持 已经 为 您 登记 办理 好 每月 25 元 的 正式 入 会员 次 月 生效 自动 续订 年终 还会 返还 您 4 个 月话费 每月 10 元费 您 在 生效 月 10 号 前 到 账 您 到时候 根据 短信 指引 在 微信 公众 号 问问 音乐 领取 会员 就 可以 了 好 吧 	 好 的 ,嗯 好 的 那 这边 的话 就 先 不 打扰 您 了 感谢您 的 接听 祝您 生活 愉快 再见 女士 ,1
20,嗯 抱歉 的 到 您 的 来电 是 感谢您 对 联通 的 支持 回馈 到 您 从 下个月 开始 每月 只 需 25 元 就 可以 领取 两款 您 喜欢 的 VIP 会员 因为 您 是 我们 联通 的 优质 用户 联通 呢 也 会 以 4 个 月 每月 到 账 10 元 的 方式 返还 给 您 话费 的 返还 的 话费 是 可以 直接 抵扣 您 的 月租费 用 的 给 您 受理 好 您 下个月 收到 联通 短信 就 可以 放心使用 了 好 吧 	 啊 行行 ,嗯 好 的 感谢您 的 支持 ,1
21,嗯 好 的 感谢您 的 支持 	 好 谢谢 ,不用 客气 的 先生 已经 为 您 登记 办理 好 每月 25 元 的 钻石 乐 会员 次 月 生效 自动 续订 年终 还会 返 您 4 个 月 花费 每月 10 元 话费 会 在 生效 当月 10 号 前 到 账 您 到时候 根据 短信 指引 在 微信 公众 号沃 音乐 领取 会员 就 可以 用 了 好 吧 ,1
22,不用 客气 的 先生 已经 为 您 登记 办理 好 每月 25 元 的 钻石 乐 会员 次 月 生效 自动 续订 年终 还会 返 您 4 个 月 花费 每月 10 元 话费 会 在 生效 当月 10 号 前 到 账 您 到时候 根据 短信 指引 在 微信 公众 号沃 音乐 领取 会员 就 可以 用 了 好 吧 	 噢 谢谢 谢谢 ,嗯 都 清楚 了 吧 ,1
23,啊 来电 是 感谢 你 对 联通 的 支持 嘛 从 下个月 开始 每月 25 元 你 可以 领取 两款 VIP 会员 了 联通 还会 返还 你 这个 月话费 每月 10 元 返还 的 话费 就 可以 直接 抵扣 月租费 用 的 给 你 送点 好 下个月 收到 了 点通 短信 就 可以 领取 来用 了 好 吧 	 什么 对 吧 比如说 上个月 上个月 连续 上涨 ,就是 这边 的话 是 一个 钻石 的 会员 活动 它 是 每个 月 25 元 的 你 可以 在 里面 领取 两个 会员 来 用 它 里面 有 20 多个 会员 嘛 有 爱奇艺 啊 优酷 啊 腾讯 啊 等等 20 多个 你 可以 随便 挑选 两个 来 用 因为 你 是 我们 联通 的 优质 用户 嘛 联通 也 会分 4 个 月 每月 到 账 10 元 的 方式 返还 给 你 话费 返还 给 你 的 话费 是 可以 直接 抵扣 领域 出 费用 的 给 你 受理 好 下个月 收到 我们 联通 短信 就 可以 领取 来用 了 好 吧 ,1
24,就是 这边 的话 是 一个 钻石 的 会员 活动 它 是 每个 月 25 元 的 你 可以 在 里面 领取 两个 会员 来 用 它 里面 有 20 多个 会员 嘛 有 爱奇艺 啊 优酷 啊 腾讯 啊 等等 20 多个 你 可以 随便 挑选 两个 来 用 因为 你 是 我们 联通 的 优质 用户 嘛 联通 也 会分 4 个 月 每月 到 账 10 元 的 方式 返还 给 你 话费 返还 给 你 的 话费 是 可以 直接 抵扣 领域 出 费用 的 给 你 受理 好 下个月 收到 我们 联通 短信 就 可以 领取 来用 了 好 吧 	 嗯 好 吧 好 ,嗯 那 好 那 耽误 您 20 秒 啊 就是 感谢您 的 支持 啊 每月 25 元 的 钻石 乐 会员 7 月 生效 激动 续订 年终 还会 返还 你 4 个 月话费 每月 需要 话费 会 在 当月 10 号 前 到 账 你 到时候 根据 短信 及 在 微信 公众 号 问 一下 联系 会员 就 可以 用 了 好 吧 ,1
25,嗯 那 好 那 耽误 您 20 秒 啊 就是 感谢您 的 支持 啊 每月 25 元 的 钻石 乐 会员 7 月 生效 激动 续订 年终 还会 返还 你 4 个 月话费 每月 需要 话费 会 在 当月 10 号 前 到 账 你 到时候 根据 短信 及 在 微信 公众 号 问 一下 联系 会员 就 可以 用 了 好 吧 	 嗯 好 了 好 了 好 了 ,嗯 那 好 那 这边 先 不 打扰 您 了 祝您 生活 愉快 再见 ,1
26,这边 来电 的话 是 感谢 你 对 联通 的 支持 通知 到 你 然后 嘛 下个月 开始 每月 25 元 就 可以 领取 两款 入门 的 VIP 会员 呢 使用 因为 你 是 我们 联通 的 优质 用户 也 会 给 您 返还 回 4 个 月 的 话费 每月 到 账 10 块钱 的 话费 是 可以 直接 帮 你 抵扣 月租费 用 这边 给 你 受理 好 下个月 收到 短信 就 可以 领取 使用 了 好不好 	 弄 了 哈 ,好 的 那 感谢 你 的 支持 的 从 下个月 开始 正式 包入 会员 自愿 生效 自动 这 都 是 这 不要 输元 返还 回给 你 的 话费 呢 分 4 个 月 到 账 给 你 每月 到 账 10 块钱 的 话费 会 在 3 月 10 号 前 到 账 给 你 你 到时候 根据 短信 提议 在 微信 公众 号 或 音乐 领取 会员 就 可以 用 了 好 吧 ,1
27,好 的 那 感谢 你 的 支持 的 从 下个月 开始 正式 包入 会员 自愿 生效 自动 这 都 是 这 不要 输元 返还 回给 你 的 话费 呢 分 4 个 月 到 账 给 你 每月 到 账 10 块钱 的 话费 会 在 3 月 10 号 前 到 账 给 你 你 到时候 根据 短信 提议 在 微信 公众 号 或 音乐 领取 会员 就 可以 用 了 好 吧 	 Oh ,那 小姐 你 到时候 根据 短信 及 引证 微信 公众 号 为 医院 领取 会员 就 可以 用 的 了 好 吧 ,1
28,嗯 这样 到时候 他 身上 是 有 短信 下 发给你 嘛 你 根据 短信 在 微信 公众 号 营业 外 噢 我 也 愿 领取 会员 就 可以 了 好 吧 	 噢 ,好 的 那 这边 就 先 不 打扰 您 了 感谢您 的 支持 祝您 生活 愉快 再见 ,1
29,嗯 抱歉 打扰到 您 了 来电 是 感谢您 对 联通 的 支持 回馈 到 您 从 下个月 开始 每月 只 需 25 元 就 可以 领取 两款 您 喜欢 的 VIP 会员 因为 您 是 我们 联通 的 优质 用户 联通 呢 也 会 以 4 个 月 每月 到 账 10 元 的 方式 返还 给 您 话费 的 返还 的 话费 是 可以 直接 抵扣 您 的 月租费 用 的 给 您 受理 好 您 下个月 收到 联通 短信 后 就 可以 放心使用 了 好 吧 	 噢 ,嗯 好 的 感谢您 的 支持 已经 为 您 登记 办理 好 每月 25 元 的 钻石 乐 会员 4 月 生效 自动 续订 年终 还会 返还 您 4 个 月话费 每月 10 元 话费 费在 生效 当月 10 号 前 到 账 的 您 到时候 根据 短信 直言 在 微信 公众 号 或 音乐 领取 会员 就 可以 了 好 吧 ,1
30,嗯 好 的 感谢您 的 支持 已经 为 您 登记 办理 好 每月 25 元 的 钻石 乐 会员 4 月 生效 自动 续订 年终 还会 返还 您 4 个 月话费 每月 10 元 话费 费在 生效 当月 10 号 前 到 账 的 您 到时候 根据 短信 直言 在 微信 公众 号 或 音乐 领取 会员 就 可以 了 好 吧 	 我 不 听 我 不 听 什么 好几个 月 啊 什么 东西 啊 ,就 您 到时候 话 根据 那个 短信 的 指引 嘛 在 那个 沃 音乐 领取 会员 就 可以 了 啊 你 到时候 看 短信 ,1
31,就 您 到时候 话 根据 那个 短信 的 指引 嘛 在 那个 沃 音乐 领取 会员 就 可以 了 啊 你 到时候 看 短信 	 吧 哈 嗯 ,嗯 好 的 您 到时候 留意 一下 短信 啊 都 签字 了 是 吧 先生 ,1
32,嗯 好 的 您 到时候 留意 一下 短信 啊 都 签字 了 是 吧 先生 	 嗯 嗯 好 ,好 的 那 就 先 不 打扰 您 了 感谢您 的 接听 祝您 生活 愉快 再见 ,1
33,抱歉 打扰到 您 了 来电 是 感谢您 对 联通 的 支持 回馈 到 您 从 下个月 开始 每月 只 需 25 元 就 可以 领取 两款 您 喜欢 的 VIP 会员 因为 您 是 我们 联通 的 优质 用户 联通 呢 也 会 以 4 个 月 每月 到 账 10 元 的 方式 返还 给 您 发费 的 返还 的 话费 是 可以 直接 抵扣 年 月度 费用 给 您 受理 好 您 下个月 收到 联通 短信 后 就 可以 放心使用 了 好 吧 	 好 谢谢 哈没来 ,嗯 好 的 感谢您 的 支持 已经 为 您 登记 办理 好 每月 25 元 的 暂时 的 会员 次 月 生效 自动 续订 延东 话费 返还 您 4 个 月 房费 费 每月 10 元 话费 会 在 生效 当月 10 号 前 到 账 您 到时候 根据 短信 指引 在 微信 公众 号 或 音乐 领取 会员 就 可以 了 好 吧 ,1
34,嗯 好 的 感谢您 的 支持 已经 为 您 登记 办理 好 每月 25 元 的 暂时 的 会员 次 月 生效 自动 续订 延东 话费 返还 您 4 个 月 房费 费 每月 10 元 话费 会 在 生效 当月 10 号 前 到 账 您 到时候 根据 短信 指引 在 微信 公众 号 或 音乐 领取 会员 就 可以 了 好 吧 	 啊 行行 哈 ,清楚 了 吧 先生 ,1
35,啊 来电 是 感谢 你 对 联通 的 支持 嘛 从 下个月 开始 每月 25 元 就 可以 领取 两款 VIP 会员 了 联通 还会 返还 你 10 个 月话费 每月 需要 返还 的 话费 是 可以 直接 抵扣 你 运输 费用 的 等 你 受理 好 下个月 收到 联通 短信 给 领取 来用 了 好 吧 	 好 的 好 的 ,嗯 那 好 那 耽误 您 20 年 了 那个 每月 25 原来 的 钻石 乐 会员 是 一个 身上 是 制定 年终 还会 返还 你 10 个 月话费 每月 10 元 话费 会 在 3 月 10 号 前 到 账 你 到时候 根据 短信 及 已 在 微信 公众 号 或 1 月 领取 会员 就 可以 用 了 好 吧 ,1
36,嗯 那 好 那 耽误 您 20 年 了 那个 每月 25 原来 的 钻石 乐 会员 是 一个 身上 是 制定 年终 还会 返还 你 10 个 月话费 每月 10 元 话费 会 在 3 月 10 号 前 到 账 你 到时候 根据 短信 及 已 在 微信 公众 号 或 1 月 领取 会员 就 可以 用 了 好 吧 	 好 的 ,嗯 ,1
37,抱歉 打扰到 您 的 来电 是 感谢您 对 联通 的 支持 回馈 到 您 从 下个月 开始 每月 只 需 25 元 就 可以 领取 两款 您 喜欢 的 VIP 会员 因为 您 是 我们 联通 的 优势 用户 联通 呢 也 会 以 4 个 月 没 每月 到 账 10 元 的 方式 返还 给 您 话费 的 返还 的 话费 是 可以 直接 提供 您 的 月租费 用 就 给 您 受理 好 您 下个月 收到 联通 短信 就 可以 放心 使用 了 好 吧 	 好 嗯 好 的 感谢 ,对 您 的 支持 以及 为 您 登记 办理 你好 每月 25 5 元 的 钻石 乐汇 会员 次 月 生效 自动 续订 延东 话费 返 您 4 个 月 发 每每 月 10 元 话费 费在 生效 当月 10 号 前 到 账 您 到时候 根据 短信 指引 在 微信 公众 号 或 音乐 领取 会员 就 可以 了 好 吧 ,1
38,对 您 的 支持 以及 为 您 登记 办理 你好 每月 25 5 元 的 钻石 乐汇 会员 次 月 生效 自动 续订 延东 话费 返 您 4 个 月 发 每每 月 10 元 话费 费在 生效 当月 10 号 前 到 账 您 到时候 根据 短信 指引 在 微信 公众 号 或 音乐 领取 会员 就 可以 了 好 吧 	 好好 ,嗯 好 的 那 这边 的话 就 先 不 打扰 您 了 感谢您 的 接听 祝您 生活 愉快 再见 女士 ,1
39,嗯 来电 的话 感谢 你 对 联通 的 支持 通知 到 年 后 嘛 下个月 开始 每月 25 元 就 可以 领取 两款 入门 的 VIP 会员 来 使用 因为 你 是 我们 联通 的 优势 用户 这边 会 给 您 返还 回 4 个 月 的 话费 每月 到 账 10 块钱 给 你 话费 是 可以 直接 帮 你 抵扣 运输 费用 这边 给 你 受理 下个月 收到 短信 领取 就 可以 了 好 吧 	 噢 好 的 谢谢 ,好 的 那 这边 好 的 感谢 你 的 支持 的 嘛 从 上个月 开始 中 时报 乐慧园 4 月 生效 自动 续订 每月 25 元 返还 回给 你 的 话费 呢 分 4 个 月 到 账 给 你 每月 交上 10 块钱 的 花费 会 在 本月 10 号 前 到 账 给 你 你 到时候 根据 短信 指引 或者 在 微信 就是 微信 公众 号 或者 营业 联系 联系 会员 就 可以 了 好 吧 ,1
40,好 的 那 这边 好 的 感谢 你 的 支持 的 嘛 从 上个月 开始 中 时报 乐慧园 4 月 生效 自动 续订 每月 25 元 返还 回给 你 的 话费 呢 分 4 个 月 到 账 给 你 每月 交上 10 块钱 的 花费 会 在 本月 10 号 前 到 账 给 你 你 到时候 根据 短信 指引 或者 在 微信 就是 微信 公众 号 或者 营业 联系 联系 会员 就 可以 了 好 吧 	 这个 是 要 额外 扣 话费 的 对 吧 ,就 像 他 这个 领 会员 的 活动 的话 每月 25 元 的 这边 然后 的话 你 就 可以 领取 两款 热门 的 会员 来 使用 了 嘛 然后 这边 也 会 返还 给 你 4 个 月 的 话费 每月 到 账 10 块钱 给 你 然后 返还 话费 可以 帮 你 抵扣 月租费 用 了 ,1
41,就 像 他 这个 领 会员 的 活动 的话 每月 25 元 的 这边 然后 的话 你 就 可以 领取 两款 热门 的 会员 来 使用 了 嘛 然后 这边 也 会 返还 给 你 4 个 月 的 话费 每月 到 账 10 块钱 给 你 然后 返还 话费 可以 帮 你 抵扣 月租费 用 了 	 嗯 那 那 那 不用 了 不用 了 我 也 用 用不着 ,这些 会员 的话 有 芒果 TV 呀 那些 会员 都 有 也 有 腾讯 视频 的 会员 的 那 领取 之后 以后 就 不用 去 额外 再 花钱 去 购买 这些 会员 到时候 你 可以 领取 来 用 看 一下 有没有 你 自己 使用 的 会员 呢 如果 不 需要 也 是 可以 随随便便 的 ,1
42,这些 会员 的话 有 芒果 TV 呀 那些 会员 都 有 也 有 腾讯 视频 的 会员 的 那 领取 之后 以后 就 不用 去 额外 再 花钱 去 购买 这些 会员 到时候 你 可以 领取 来 用 看 一下 有没有 你 自己 使用 的 会员 呢 如果 不 需要 也 是 可以 随随便便 的 	 嗯 就是 那个 这个 是 直接 短信 就 可以 退订 吗 ,好 退订 的话 你 可以 打 100101 工 服务 退订 就 可以 了 嘛 ,1
43,好 退订 的话 你 可以 打 100101 工 服务 退订 就 可以 了 嘛 	 然后 他 这个 他 这个 会员 是 他 这个 会员 是 任意 两个 APP 吗 ,对 因 你 选择 两款 而且 每个 月 都 可以 领取 两款 不同 的 会员 比如说 你 是 可以 4 个 月 领取 了 芒果 TV 和 爱奇艺 那些 的话 下个月 就 可以 领取 QQ 会员 啊   Qq 音乐 但是 会员 都 可以 的 嘛 每个 月 可以 领取 两款 不同 的 ,1
44,对 因 你 选择 两款 而且 每个 月 都 可以 领取 两款 不同 的 会员 比如说 你 是 可以 4 个 月 领取 了 芒果 TV 和 爱奇艺 那些 的话 下个月 就 可以 领取 QQ 会员 啊   Qq 音乐 但是 会员 都 可以 的 嘛 每个 月 可以 领取 两款 不同 的 	 是 两个 APP 一共 只要 25 块 吗 ,嗯 对 啊 他 25 元 以后 的话 这边 也 会 返还 回 你 4 个 月 的 话费 每月 到 30 块钱 给 你 的 ,1
45,嗯 对 啊 他 25 元 以后 的话 这边 也 会 返还 回 你 4 个 月 的 话费 每月 到 30 块钱 给 你 的 	 噢 好 的 ,嗯 返还 话费 可以 抵扣 月租 嘛 然后 你 到时候 根据 短信 提醒 或者 在 微信 公众 号 为 医院 领取 会员 就 可以 用 了 好 吧 ,1
46,嗯 返还 话费 可以 抵扣 月租 嘛 然后 你 到时候 根据 短信 提醒 或者 在 微信 公众 号 为 医院 领取 会员 就 可以 用 了 好 吧 	 在 哪 呢 工作 列入 好 呢 ,就 说 你 可以 根据 短信 离异 在 微信 公众 号 或 音乐 领取 就 可以 了 ,1
47,就 说 你 可以 根据 短信 离异 在 微信 公众 号 或 音乐 领取 就 可以 了 	 噢 好 的 好 的 ,好 那 这边 的话 就 先 不 打扰 你 了 嘛 感谢 你 的 支持 感谢您 的 支持 的 那 祝您 生活 愉快 再见 ,1
48,啊 来电 是 感谢 你 对 联通 的 支持 嘛 从 下个月 开始 每月 25 元 你 可以 额外 领取 两款 VIP 会员 呢 20 多个 会员 随 你 选择 因为 你 是 我们 联通 的 优质 用户 嘛 联通 也 会分 4 个 月 每月 到 账 10 元 的 方式 返还 给 你 话费 返还 给 你 的 话费 是 可以 直接 抵扣 你 月租费 用 的 给 你 受理 好 下个月 收到 我们 联通 短信 就 可以 领取 来用 了 好 吧 	 嗯 ,啊 你好 听 得到 吗 ,1
49,啊 你好 听 得到 吗 	 前两天 到理 所长 要 改 资费 ,啊 啊 不是 你 套餐 是 不变 的 这个 是 这边 是 一个 钻石 乐 会员 的 活动 就是 你 每个 月 25 元 你 可以 领取 两款 VIP 会员 吧 因为 你 是 我们 联通 的 优质 用户 联通 也 会分 4 个 月 每月 到 账 10 元 的 方式 返还 给 你 话费 那 返还 给 你 的 话费 是 可以 直接 抵扣 你 月租费 用 的 跟 你 说 你好 下个月 收到 我们 联通 短信 就 可以 领取 来用 了 好 吧 ,1
